[2026-04-04 11:05:15.336248] EV=80.6% odd=2.13 mercado=over_2.5 n=14
[2026-04-04 11:05:16.906308] EV=82.7% odd=1.92 mercado=over_2.5 n=14
[2026-04-04 11:05:17.673640] EV=29.0% odd=3.2 mercado=1x2_casa n=14
[2026-04-04 11:05:17.722979] EV=54.9% odd=2.06 mercado=over_2.5 n=14
[2026-04-04 11:05:18.574033] EV=46.3% odd=3.1 mercado=1x2_casa n=14
[2026-04-04 16:00:59.640113] EV=36.1% odd=3.4 mercado=1x2_casa n=14
[2026-04-04 16:00:59.745313] EV=60.7% odd=2.66 mercado=under_2.5 n=14
[2026-04-04 16:01:20.660571] EV=43.9% odd=3.05 mercado=1x2_casa n=14
[2026-04-04 16:56:51.913811] EV=36.1% odd=3.4 mercado=1x2_casa n=14
[2026-04-04 16:56:51.991851] EV=60.7% odd=2.66 mercado=under_2.5 n=14
[2026-04-05 08:54:58.712394] EV=28.4% odd=2.6 mercado=1x2_casa n=14
[2026-04-05 08:55:00.735374] EV=26.4% odd=2.26 mercado=over_2.5 n=14
[2026-04-05 08:55:07.841094] EV=28.5% odd=2.12 mercado=under_2.5 n=14
[2026-04-05 08:55:10.774037] EV=23.6% odd=3.5 mercado=1x2_casa n=14
[2026-04-05 08:55:11.013205] EV=45.2% odd=2.34 mercado=under_2.5 n=14
[2026-04-05 08:55:12.099357] EV=44.0% odd=2.6 mercado=under_2.5 n=14
[2026-04-05 08:55:15.019066] EV=35.0% odd=2.13 mercado=under_2.5 n=14
[2026-04-05 08:55:17.709191] EV=30.9% odd=2.5 mercado=under_2.5 n=14
[2026-04-05 08:55:20.243262] EV=31.6% odd=1.92 mercado=over_2.5 n=14
[2026-04-05 08:55:21.073982] EV=29.0% odd=3.35 mercado=1x2_fora n=14
[2026-04-05 08:55:21.106627] EV=89.9% odd=2.38 mercado=over_2.5 n=14
[2026-04-05 08:55:23.049936] EV=35.7% odd=3.1 mercado=1x2_casa n=14
[2026-04-05 08:55:23.194025] EV=22.4% odd=2.19 mercado=over_2.5 n=14
[2026-04-05 08:55:24.104364] EV=25.7% odd=3.5 mercado=1x2_fora n=14
[2026-04-05 08:55:24.144287] EV=30.4% odd=2.47 mercado=over_2.5 n=14
[2026-04-05 09:00:42.826850] EV=28.4% odd=2.6 mercado=1x2_casa n=14
[2026-04-05 09:00:43.464739] EV=26.4% odd=2.26 mercado=over_2.5 n=14
[2026-04-05 09:00:59.406982] EV=28.5% odd=2.12 mercado=under_2.5 n=14
[2026-04-05 09:01:04.881586] EV=44.0% odd=2.6 mercado=under_2.5 n=14
[2026-04-05 09:01:10.369279] EV=39.4% odd=2.2 mercado=under_2.5 n=14
[2026-04-05 09:01:14.362829] EV=30.9% odd=2.5 mercado=under_2.5 n=14
[2026-04-05 09:01:17.676548] EV=45.3% odd=2.12 mercado=over_2.5 n=14
[2026-04-05 09:01:18.804527] EV=29.0% odd=3.35 mercado=1x2_fora n=14
[2026-04-05 09:01:18.832118] EV=89.9% odd=2.38 mercado=over_2.5 n=14
[2026-04-05 09:01:20.718213] EV=35.7% odd=3.1 mercado=1x2_casa n=14
[2026-04-05 09:01:20.797729] EV=21.9% odd=2.18 mercado=over_2.5 n=14
[2026-04-05 09:01:21.657105] EV=25.7% odd=3.5 mercado=1x2_fora n=14
[2026-04-05 09:01:21.688670] EV=30.4% odd=2.47 mercado=over_2.5 n=14
[2026-04-05 09:40:46.276641] EV=29.4% odd=2.62 mercado=1x2_casa n=14
[2026-04-05 09:40:47.326816] EV=26.4% odd=2.26 mercado=over_2.5 n=14
[2026-04-05 09:40:52.671671] EV=28.5% odd=2.12 mercado=under_2.5 n=14
[2026-04-05 09:40:55.700798] EV=44.0% odd=2.6 mercado=under_2.5 n=14
[2026-04-05 09:40:58.236057] EV=39.4% odd=2.2 mercado=under_2.5 n=14
[2026-04-05 09:41:00.559890] EV=38.7% odd=2.65 mercado=under_2.5 n=14
